M00052;U00059;Rynkowa Zachod
M00048;U00060;Jodlowa Handlowa
M00067;U00061;Akacjowa Nadbrzezna
M00032;U00062;Akacjowa Polnoc
M00044;U00063;Krotka Polnoc
M00071;U00064;Sienkiewicza Osiedlowa
M00029;U00065;Krotka Osiedlowa
M00091;U00066;Mickiewicza Polnoc
M00030;U00067;Sosnowa Centrum
M00005;U00068;Krakowska Nadbrzezna
M00066;U00069;Wesola Polnoc
M00086;U00070;Dluga Zachod
M00070;U00071;Slowackiego Wschod
M00120;U00072;Polna Miejska
M00061;U00073;Jagiellonska Osiedlowa
M00061;U00074;Dluga Glowna
M00013;U00075;Pilsudskiego Wschod
M00056;U00076;Lesna Handlowa
M00053;U00077;Kwiatowa Dolna
M00094;U00078;Topolowa Boczna
M00084;U00079;Warszawska Handlowa
M00094;U00080;Warszawska Dolna
M00111;U00081;Wesola Glowna
M00025;U00082;Lesna Wschod
M00058;U00083;Kolejowa Nowa
M00024;U00084;Polna Dolna
M00032;U00085;Zlota Stara
M00104;U00086;Krakowska Stara
M00007;U00087;Parkowa Polnoc
M00108;U00088;Modrzewiowa Nowa
M00053;U00089;Dluga Poludnie
M00028;U00090;Slowackiego Stara
M00008;U00091;Zamkowa Nadbrzezna
M00001;U00092;Ogrodowa Dolna
M00055;U00093;Topolowa Zachod
M00101;U00094;Pocztowa Miejska
M00092;U00095;Parkowa Handlowa
M00025;U00096;Slowackiego Poludnie
M00008;U00097;Spacerowa Wschod
M00070;U00098;Sadowa Miejska
M00041;U00099;Warszawska Miejska
M00075;U00100;Warszawska Centrum
M00008;U00101;Kasztanowa Poludnie
M00109;U00102;Moniuszki Polnoc
M00077;U00103;Lipowa Polnoc
M00111;U00104;Krakowska Handlowa
M00016;U00105;Dluga Dolna
M00075;U00106;Jagiellonska Wschod
M00080;U00107;Liliowa Centrum
M00085;U00108;Dworcowa Dolna
M00067;U00109;Sadowa Osiedlowa
M00034;U00110;Cicha Nadbrzezna
M00086;U00111;Zamkowa Poludnie
M00059;U00112;Modrzewiowa Zachod
M00059;U00113;Krakowska Centrum
M00013;U00114;Wiosenna Osiedlowa
M00028;U00115;Krakowska Nowa
M00017;U00116;Moniuszki Zachod
M00009;U00117;Kwiatowa Nadbrzezna
M00037;U00118;Dluga Gorna
M00107;U00119;Ogrodowa Stara
M00039;U00120;Debowa Miejska
M00084;U00121;Wiosenna Glowna
M00086;U00122;Kasztanowa Centrum
M00120;U00123;Parkowa Zachod
M00113;U00124;Jodlowa Polnoc
M00015;U00125;Polna Zachod
M00071;U00126;Lesna Miejska
M00027;U00127;Spacerowa Osiedlowa
M00116;U00128;Slowackiego Zachod
M00082;U00129;Warszawska Polnoc
M00036;U00130;Szeroka Boczna
M00043;U00131;Kosciuszki Centrum
M00034;U00132;Polna Handlowa
M00057;U00133;Ogrodowa Miejska
M00055;U00134;Parkowa Miejska
M00015;U00135;Parkowa Centrum
M00005;U00136;Sloneczna Nowa
M00071;U00137;Targowa Osiedlowa
M00017;U00138;Sloneczna Dolna
M00047;U00139;Kosciuszki Zachod
M00046;U00140;Kosciuszki Nadbrzezna
M00014;U00141;Dluga Handlowa
M00072;U00142;Kwiatowa Glowna
M00096;U00143;Pilsudskiego Osiedlowa
M00120;U00144;Sloneczna Nadbrzezna
M00021;U00145;Dluga Boczna
M00053;U00146;Lipowa Nadbrzezna
M00095;U00147;Sienkiewicza Poludnie
M00086;U00148;Pilsudskiego Glowna
M00032;U00149;Mlynska Glowna
M00101;U00150;Zlota Poludnie
M00049;U00151;Pocztowa Polnoc
M00061;U00152;Kosciuszki Boczna
M00105;U00153;Krotka Wschod
M00040;U00154;Topolowa Gorna
M00025;U00155;Sienkiewicza Handlowa
M00036;U00156;Zamkowa Gorna
M00036;U00157;Krakowska Glowna
M00066;U00158;Kwiatowa Handlowa
M00108;U00159;Zamkowa Handlowa
M00004;U00160;Debowa Gorna
M00034;U00161;Szkolna Nadbrzezna
M00034;U00162;Lipowa Osiedlowa
M00077;U00163;Kosciuszki Polnoc
M00094;U00164;Szeroka Gorna
M00078;U00165;Cicha Dolna
M00074;U00166;Centralna Nadbrzezna
M00006;U00167;Kolejowa Zachod
M00001;U00168;Rynkowa Dolna
M00093;U00169;Debowa Handlowa
M00086;U00170;Mlynska Miejska
M00056;U00171;Kolejowa Gorna
M00041;U00172;Wesola Osiedlowa
M00016;U00173;Jodlowa Boczna
M00039;U00174;Koscielna Nadbrzezna
M00042;U00175;Jodlowa Dolna
M00038;U00176;Zamkowa Miejska
M00025;U00177;Parkowa Poludnie
M00049;U00178;Pilsudskiego Handlowa
M00116;U00179;Brzoskwiniowa Miejska
M00052;U00180;Jagiellonska Zachod
M00001;U00181;Parkowa Boczna
M00027;U00182;Jasna Zachod
M00075;U00183;Szeroka Glowna
M00042;U00184;Liliowa Handlowa
M00057;U00185;Topolowa Stara
M00066;U00186;Brzoskwiniowa Wschod
M00116;U00187;Wolnosci Glowna
M00085;U00188;Mlynska Poludnie
M00066;U00189;Dworcowa Zachod
M00012;U00190;Wiosenna Gorna
M00004;U00191;Kolejowa Poludnie
M00061;U00192;Kosciuszki Wschod
M00099;U00193;Wiosenna Boczna
M00081;U00194;Pilsudskiego Nadbrzezna
M00050;U00195;Rynkowa Miejska
M00032;U00196;Slowackiego Dolna
M00115;U00197;Pocztowa Centrum
M00055;U00198;Lesna Glowna
M00103;U00199;Krotka Poludnie
M00060;U00200;Pocztowa Nowa
M00032;U00201;Warszawska Nowa
M00018;U00202;Szkolna Stara
M00068;U00203;Topolowa Handlowa
M00041;U00204;Parkowa Osiedlowa
M00105;U00205;Akacjowa Osiedlowa
M00107;U00206;Moniuszki Dolna
M00115;U00207;Parkowa Stara
M00034;U00208;Wolnosci Stara
M00099;U00209;Sosnowa Zachod
M00081;U00210;Kasztanowa Stara
M00115;U00211;Wesola Gorna
M00018;U00212;Debowa Polnoc
M00050;U00213;Sloneczna Wschod
M00091;U00214;Pocztowa Poludnie
M00054;U00215;Brzozowa Polnoc
M00070;U00216;Pilsudskiego Gorna
M00116;U00217;Pilsudskiego Dolna
M00113;U00218;Sienkiewicza Boczna
M00062;U00219;Jagiellonska Dolna
M00039;U00220;Mickiewicza Gorna
M00115;U00221;Centralna Boczna
M00096;U00222;Pilsudskiego Nowa
M00103;U00223;Mlynska Nowa
M00029;U00224;Liliowa Nadbrzezna
M00063;U00225;Zlota Dolna
M00044;U00226;Sienkiewicza Dolna
M00060;U00227;Ogrodowa Boczna
M00069;U00228;Polna Osiedlowa
M00051;U00229;Sienkiewicza Nadbrzezna
M00011;U00230;Jodlowa Centrum
M00018;U00231;Modrzewiowa Dolna
M00007;U00232;Topolowa Poludnie
M00042;U00233;Grunwaldzka Dolna
M00042;U00234;Brzozowa Stara
M00107;U00235;Pilsudskiego Zachod
M00003;U00236;Dworcowa Stara
M00029;U00237;Warszawska Gorna
M00097;U00238;Modrzewiowa Centrum
M00026;U00239;Sienkiewicza Wschod
M00086;U00240;Polna Stara
M00028;U00241;Szkolna Osiedlowa
M00033;U00242;Topolowa Miejska
M00078;U00243;Targowa Poludnie
M00092;U00244;Liliowa Miejska
M00105;U00245;Szkolna Glowna
M00014;U00246;Ogrodowa Zachod
M00119;U00247;Sadowa Centrum
M00087;U00248;Jasna Osiedlowa
M00092;U00249;Centralna Dolna
M00076;U00250;Kolejowa Polnoc
M00081;U00251;Pocztowa Boczna
M00090;U00252;Dluga Polnoc
M00104;U00253;Brzoskwiniowa Osiedlowa
M00006;U00254;Jagiellonska Glowna
M00055;U00255;Kwiatowa Nowa
M00009;U00256;Jodlowa Gorna
M00044;U00257;Moniuszki Handlowa
M00054;U00258;Mickiewicza Boczna
M00056;U00259;Slowackiego Polnoc
M00115;U00260;Targowa Handlowa
M00067;U00261;Lipowa Miejska
M00035;U00262;Koscielna Osiedlowa
M00032;U00263;Cicha Boczna
M00097;U00264;Akacjowa Wschod
M00079;U00265;Topolowa Osiedlowa
M00064;U00266;Wesola Centrum
M00063;U00267;Cicha Poludnie
M00103;U00268;Brzozowa Gorna
M00036;U00269;Grunwaldzka Gorna
M00002;U00270;Zlota Nowa
M00011;U00271;Kasztanowa Wschod
M00072;U00272;Pilsudskiego Stara
M00092;U00273;Wolnosci Handlowa
M00048;U00274;Jodlowa Osiedlowa
M00055;U00275;Kasztanowa Gorna
M00035;U00276;Pocztowa Stara
M00096;U00277;Cicha Polnoc
M00095;U00278;Kolejowa Wschod
M00093;U00279;Wolnosci Zachod
M00068;U00280;Sadowa Glowna
M00013;U00281;Liliowa Zachod
M00023;U00282;Krotka Gorna
M00091;U00283;Jasna Centrum
M00036;U00284;Debowa Poludnie
M00037;U00285;Mickiewicza Osiedlowa
M00024;U00286;Akacjowa Gorna
M00111;U00287;Warszawska Zachod
M00106;U00288;Wolnosci Polnoc
M00088;U00289;Jagiellonska Handlowa
M00020;U00290;Warszawska Poludnie
M00016;U00291;Dworcowa Wschod
M00054;U00292;Parkowa Glowna
M00102;U00293;Liliowa Osiedlowa
M00100;U00294;Wiosenna Wschod
M00058;U00295;Kasztanowa Dolna
M00111;U00296;Akacjowa Zachod
M00079;U00297;Wiosenna Centrum
M00098;U00298;Mlynska Polnoc
M00085;U00299;Brzozowa Zachod
M00031;U00300;Dworcowa Poludnie
M00001;U00301;Krakowska Poludnie
M00061;U00302;Pocztowa Osiedlowa
M00030;U00303;Spacerowa Centrum
M00037;U00304;Spacerowa Miejska
M00088;U00305;Topolowa Polnoc
M00034;U00306;Krotka Nadbrzezna
M00085;U00307;Sosnowa Osiedlowa
M00015;U00308;Kolejowa Dolna
M00083;U00309;Debowa Wschod
M00019;U00310;Zlota Boczna
M00040;U00311;Ogrodowa Glowna
M00037;U00312;Jagiellonska Nadbrzezna
M00052;U00313;Jasna Miejska
M00057;U00314;Debowa Stara
M00006;U00315;Dworcowa Osiedlowa
M00042;U00316;Szeroka Miejska
M00087;U00317;Sienkiewicza Glowna
M00006;U00318;Zlota Osiedlowa
M00067;U00319;Lipowa Stara
M00053;U00320;Wolnosci Gorna
M00064;U00321;Pilsudskiego Miejska
M00052;U00322;Spacerowa Handlowa
M00042;U00323;Cicha Zachod
M00066;U00324;Zamkowa Boczna
M00025;U00325;Pilsudskiego Centrum
M00057;U00326;Slowackiego Handlowa
M00037;U00327;Polna Nadbrzezna
M00081;U00328;Szkolna Centrum
M00031;U00329;Liliowa Glowna
M00040;U00330;Rynkowa Poludnie
M00012;U00331;Parkowa Dolna
M00120;U00332;Sloneczna Stara
M00035;U00333;Moniuszki Miejska
M00062;U00334;Pilsudskiego Boczna
M00059;U00335;Wolnosci Wschod
M00118;U00336;Centralna Wschod
M00096;U00337;Liliowa Nowa
M00009;U00338;Polna Boczna
M00102;U00339;Zlota Glowna
M00093;U00340;Mickiewicza Zachod
M00111;U00341;Jodlowa Stara
M00071;U00342;Kwiatowa Gorna
M00059;U00343;Debowa Dolna
M00031;U00344;Kolejowa Miejska
M00061;U00345;Cicha Miejska
M00104;U00346;Rynkowa Nadbrzezna
M00106;U00347;Jodlowa Glowna
M00064;U00348;Modrzewiowa Poludnie
M00065;U00349;Kosciuszki Poludnie
M00112;U00350;Sadowa Gorna
M00053;U00351;Koscielna Poludnie
M00051;U00352;Wiosenna Miejska
M00087;U00353;Wesola Boczna
M00092;U00354;Cicha Handlowa
M00080;U00355;Debowa Centrum
M00081;U00356;Krakowska Wschod
M00037;U00357;Brzoskwiniowa Nadbrzezna
M00012;U00358;Krotka Miejska
M00098;U00359;Szeroka Polnoc
M00022;U00360;Lesna Stara
M00116;U00361;Pocztowa Zachod
M00042;U00362;Sienkiewicza Centrum
M00032;U00363;Szeroka Poludnie
M00023;U00364;Lipowa Poludnie
M00088;U00365;Centralna Osiedlowa
M00117;U00366;Dluga Stara
M00030;U00367;Sadowa Poludnie
M00033;U00368;Grunwaldzka Stara
M00037;U00369;Topolowa Nadbrzezna
M00021;U00370;Brzoskwiniowa Nowa
M00039;U00371;Kwiatowa Osiedlowa
M00089;U00372;Sosnowa Dolna
M00074;U00373;Jagiellonska Gorna
M00073;U00374;Zlota Centrum
M00096;U00375;Brzoskwiniowa Glowna
M00078;U00376;Warszawska Nadbrzezna
M00107;U00377;Mlynska Stara
M00103;U00378;Spacerowa Glowna
M00082;U00379;Kwiatowa Wschod
M00033;U00380;Kolejowa Osiedlowa
M00085;U00381;Koscielna Glowna
M00018;U00382;Brzoskwiniowa Boczna
M00116;U00383;Sosnowa Polnoc
M00006;U00384;Sosnowa Handlowa
M00057;U00385;Jasna Glowna
M00047;U00386;Kosciuszki Osiedlowa
M00038;U00387;Dworcowa Nadbrzezna
M00026;U00388;Pilsudskiego Poludnie
M00070;U00389;Polna Glowna
M00065;U00390;Targowa Nowa
M00012;U00391;Parkowa Gorna
M00034;U00392;Zamkowa Centrum
M00075;U00393;Brzoskwiniowa Zachod
M00014;U00394;Sosnowa Gorna
M00080;U00395;Wolnosci Centrum
M00006;U00396;Szkolna Poludnie
M00048;U00397;Centralna Stara
M00090;U00398;Jodlowa Miejska
M00053;U00399;Slowackiego Osiedlowa
M00028;U00400;Pocztowa Gorna
M00031;U00401;Akacjowa Stara
M00088;U00402;Targowa Polnoc
M00016;U00403;Zlota Wschod
M00077;U00404;Modrzewiowa Handlowa
M00017;U00405;Wesola Wschod
M00098;U00406;Krakowska Boczna
M00076;U00407;Parkowa Wschod
M00112;U00408;Brzozowa Boczna
M00116;U00409;Sloneczna Glowna
M00070;U00410;Sloneczna Poludnie
M00023;U00411;Grunwaldzka Glowna
M00042;U00412;Dluga Osiedlowa
M00017;U00413;Grunwaldzka Centrum
M00068;U00414;Mlynska Dolna
M00009;U00415;Szkolna Miejska
M00058;U00416;Sadowa Polnoc
M00079;U00417;Moniuszki Wschod
M00101;U00418;Kosciuszki Miejska
M00039;U00419;Jodlowa Nowa
M00052;U00420;Wolnosci Boczna
M00014;U00421;Szeroka Handlowa
M00117;U00422;Slowackiego Miejska
M00078;U00423;Dworcowa Gorna
M00017;U00424;Sloneczna Polnoc
M00065;U00425;Spacerowa Stara
M00058;U00426;Brzozowa Dolna
M00044;U00427;Krotka Dolna
M00055;U00428;Lesna Gorna
M00011;U00429;Dworcowa Boczna
M00104;U00430;Mlynska Gorna
M00008;U00431;Polna Nowa
M00072;U00432;Sadowa Nowa
M00016;U00433;Wesola Handlowa
M00037;U00434;Koscielna Centrum
M00074;U00435;Kwiatowa Polnoc
M00055;U00436;Krotka Glowna
M00072;U00437;Brzoskwiniowa Handlowa
M00098;U00438;Zlota Miejska
M00044;U00439;Jasna Nadbrzezna
M00024;U00440;Kwiatowa Centrum
M00085;U00441;Sloneczna Osiedlowa
M00019;U00442;Zamkowa Polnoc
M00004;U00443;Mlynska Handlowa
M00068;U00444;Dworcowa Miejska
M00048;U00445;Wesola Poludnie
M00073;U00446;Cicha Glowna
M00114;U00447;Liliowa Polnoc
M00035;U00448;Brzoskwiniowa Polnoc
M00055;U00449;Akacjowa Handlowa
M00035;U00450;Akacjowa Dolna
M00066;U00451;Brzozowa Glowna
M00056;U00452;Szkolna Gorna
M00087;U00453;Szkolna Zachod
M00086;U00454;Slowackiego Nowa
M00039;U00455;Mickiewicza Wschod
M00042;U00456;Grunwaldzka Zachod
M00072;U00457;Krotka Nowa
M00056;U00458;Mlynska Centrum
M00118;U00459;Sienkiewicza Stara
M00055;U00460;Cicha Osiedlowa
M00054;U00461;Rynkowa Handlowa
M00107;U00462;Wiosenna Stara
M00052;U00463;Szeroka Osiedlowa
M00051;U00464;Kasztanowa Polnoc
M00066;U00465;Ogrodowa Polnoc
M00025;U00466;Kasztanowa Nowa
M00083;U00467;Koscielna Boczna
M00033;U00468;Lesna Poludnie
M00098;U00469;Liliowa Poludnie
M00081;U00470;Lipowa Glowna
M00088;U00471;Sadowa Stara
M00058;U00472;Jasna Stara
M00037;U00473;Targowa Boczna
M00006;U00474;Mlynska Nadbrzezna
M00008;U00475;Moniuszki Poludnie
M00011;U00476;Wesola Miejska
M00032;U00477;Lipowa Centrum
M00057;U00478;Rynkowa Stara
M00047;U00479;Wiosenna Poludnie
M00110;U00480;Grunwaldzka Miejska
M00078;U00481;Jodlowa Nadbrzezna
M00118;U00482;Jodlowa Poludnie
M00084;U00483;Kwiatowa Zachod
M00051;U00484;Pocztowa Handlowa
M00049;U00485;Jasna Nowa
M00043;U00486;Modrzewiowa Glowna
M00047;U00487;Szeroka Nowa
M00040;U00488;Sienkiewicza Gorna
M00044;U00489;Lipowa Wschod
M00101;U00490;Spacerowa Boczna
M00099;U00491;Lesna Nowa
M00095;U00492;Debowa Boczna
M00089;U00493;Lipowa Boczna
M00053;U00494;Akacjowa Centrum
M00107;U00495;Wolnosci Nadbrzezna
M00068;U00496;Centralna Nowa
M00078;U00497;Kolejowa Glowna
M00016;U00498;Kasztanowa Boczna
M00031;U00499;Moniuszki Gorna
M00048;U00500;Centralna Polnoc
M00041;U00501;Krotka Centrum
M00107;U00502;Wolnosci Miejska
M00011;U00503;Mickiewicza Nadbrzezna
M00028;U00504;Sienkiewicza Zachod
M00007;U00505;Jasna Polnoc
M00080;U00506;Sosnowa Glowna
M00116;U00507;Szkolna Boczna
M00074;U00508;Sosnowa Nowa
M00079;U00509;Szeroka Centrum
M00086;U00510;Lipowa Handlowa
M00047;U00511;Dworcowa Nowa
M00101;U00512;Debowa Nowa
M00003;U00513;Moniuszki Nowa
M00096;U00514;Targowa Zachod
M00031;U00515;Krakowska Gorna
M00081;U00516;Koscielna Handlowa
M00070;U00517;Kosciuszki Gorna
M00090;U00518;Brzoskwiniowa Stara
M00092;U00519;Polna Polnoc
M00006;U00520;Kolejowa Nadbrzezna
M00037;U00521;Modrzewiowa Wschod
M00100;U00522;Kwiatowa Boczna
M00103;U00523;Zlota Polnoc
M00114;U00524;Targowa Dolna
M00024;U00525;Centralna Gorna
M00119;U00526;Slowackiego Gorna
M00103;U00527;Kasztanowa Zachod
M00014;U00528;Spacerowa Gorna
M00040;U00529;Jodlowa Zachod
M00082;U00530;Szeroka Zachod
M00096;U00531;Moniuszki Glowna
M00004;U00532;Brzoskwiniowa Poludnie
M00078;U00533;Sloneczna Boczna
M00078;U00534;Jagiellonska Centrum
M00098;U00535;Targowa Stara
M00018;U00536;Krakowska Osiedlowa
M00024;U00537;Sienkiewicza Miejska
M00089;U00538;Wiosenna Zachod
M00088;U00539;Dworcowa Glowna
M00009;U00540;Kwiatowa Miejska
M00038;U00541;Parkowa Nowa
M00102;U00542;Polna Wschod
M00047;U00543;Slowackiego Centrum
M00012;U00544;Wiosenna Nadbrzezna
M00051;U00545;Krakowska Zachod
M00017;U00546;Jagiellonska Polnoc
M00112;U00547;Moniuszki Nadbrzezna
M00020;U00548;Szkolna Nowa
M00021;U00549;Jasna Poludnie
M00045;U00550;Rynkowa Wschod
M00071;U00551;Kolejowa Handlowa
M00012;U00552;Wiosenna Nowa
M00075;U00553;Ogrodowa Osiedlowa
M00099;U00554;Kosciuszki Handlowa
M00004;U00555;Wiosenna Handlowa
M00081;U00556;Slowackiego Nadbrzezna
M00008;U00557;Krakowska Miejska
M00044;U00558;Topolowa Wschod
M00060;U00559;Cicha Wschod
M00032;U00560;Wiosenna Dolna
M00041;U00561;Jagiellonska Miejska
M00059;U00562;Zamkowa Nowa
M00075;U00563;Dluga Wschod
M00018;U00564;Lesna Dolna
M00052;U00565;Targowa Glowna
M00052;U00566;Targowa Centrum
M00072;U00567;Warszawska Osiedlowa
M00017;U00568;Wiosenna Polnoc
M00047;U00569;Wesola Nowa
M00075;U00570;Szkolna Dolna
M00068;U00571;Wolnosci Poludnie
M00106;U00572;Centralna Poludnie
M00057;U00573;Kolejowa Centrum
M00053;U00574;Pocztowa Wschod
M00042;U00575;Brzozowa Nowa
M00091;U00576;Brzozowa Miejska
M00120;U00577;Parkowa Nadbrzezna
M00069;U00578;Kolejowa Boczna
M00072;U00579;Zlota Nadbrzezna
M00032;U00580;Sadowa Wschod
M00007;U00581;Sosnowa Wschod
M00071;U00582;Polna Centrum
M00113;U00583;Modrzewiowa Nadbrzezna
M00074;U00584;Dworcowa Handlowa
M00113;U00585;Lipowa Dolna
M00064;U00586;Zamkowa Glowna
M00119;U00587;Mlynska Boczna
M00005;U00588;Spacerowa Nadbrzezna
M00043;U00589;Lesna Nadbrzezna
M00052;U00590;Sosnowa Nadbrzezna
M00034;U00591;Dluga Centrum
M00035;U00592;Akacjowa Glowna
M00075;U00593;Wesola Zachod
M00040;U00594;Rynkowa Glowna
M00101;U00595;Liliowa Boczna
M00091;U00596;Akacjowa Nowa
M00020;U00597;Jagiellonska Nowa
M00017;U00598;Warszawska Stara
M00001;U00599;Grunwaldzka Boczna
M00075;U00600;Mlynska Wschod
M00083;U00601;Modrzewiowa Miejska
M00045;U00602;Modrzewiowa Boczna
M00003;U00603;Mickiewicza Glowna
M00005;U00604;Lesna Osiedlowa
M00030;U00605;Zamkowa Stara
M00068;U00606;Centralna Glowna
M00110;U00607;Krotka Zachod
M00048;U00608;Akacjowa Boczna
M00042;U00609;Dluga Nowa
M00084;U00610;Topolowa Nowa
M00098;U00611;Koscielna Stara
M00034;U00612;Sloneczna Centrum
M00038;U00613;Koscielna Dolna
M00033;U00614;Brzoskwiniowa Gorna
M00018;U00615;Kwiatowa Poludnie
M00063;U00616;Koscielna Nowa
M00018;U00617;Mickiewicza Dolna
M00071;U00618;Mickiewicza Nowa
M00093;U00619;Sienkiewicza Nowa
M00090;U00620;Moniuszki Boczna
M00049;U00621;Zamkowa Dolna
M00022;U00622;Mickiewicza Miejska
M00035;U00623;Jagiellonska Stara
M00085;U00624;Debowa Osiedlowa
M00027;U00625;Cicha Centrum
M00051;U00626;Rynkowa Boczna
M00115;U00627;Centralna Handlowa
M00108;U00628;Szeroka Wschod
M00035;U00629;Krakowska Polnoc
M00014;U00630;Cicha Gorna
M00040;U00631;Dworcowa Centrum
M00004;U00632;Pilsudskiego Polnoc
M00038;U00633;Centralna Centrum
M00035;U00634;Ogrodowa Poludnie
M00093;U00635;Grunwaldzka Wschod
M00077;U00636;Sosnowa Stara
M00043;U00637;Wesola Stara
M00018;U00638;Modrzewiowa Osiedlowa
M00078;U00639;Jasna Gorna
M00052;U00640;Wolnosci Osiedlowa
M00070;U00641;Pocztowa Dolna
M00115;U00642;Targowa Miejska
M00079;U00643;Ogrodowa Handlowa
M00054;U00644;Lesna Zachod
M00090;U00645;Akacjowa Miejska
M00095;U00646;Ogrodowa Nadbrzezna
M00004;U00647;Szeroka Dolna
M00114;U00648;Mlynska Osiedlowa
M00076;U00649;Kolejowa Stara
M00036;U00650;Brzozowa Wschod
M00026;U00651;Targowa Gorna
M00111;U00652;Grunwaldzka Handlowa
M00016;U00653;Polna Gorna
M00024;U00654;Spacerowa Poludnie
M00034;U00655;Kosciuszki Stara
M00081;U00656;Rynkowa Osiedlowa
M00074;U00657;Spacerowa Zachod
M00042;U00658;Sloneczna Miejska
M00054;U00659;Zlota Handlowa
M00094;U00660;Koscielna Polnoc
M00107;U00661;Zlota Gorna
M00044;U00662;Slowackiego Glowna
M00048;U00663;Grunwaldzka Polnoc
M00090;U00664;Mickiewicza Centrum
M00041;U00665;Lesna Polnoc
M00066;U00666;Kasztanowa Osiedlowa
M00119;U00667;Brzozowa Centrum
M00051;U00668;Warszawska Glowna
M00098;U00669;Sadowa Handlowa
M00095;U00670;Jasna Handlowa
M00064;U00671;Mickiewicza Poludnie
M00106;U00672;Kasztanowa Glowna
M00048;U00673;Jagiellonska Poludnie
M00006;U00674;Moniuszki Centrum
M00103;U00675;Kosciuszki Nowa
M00035;U00676;Koscielna Gorna
M00035;U00677;Cicha Stara
M00021;U00678;Szkolna Polnoc
M00105;U00679;Grunwaldzka Nadbrzezna
M00036;U00680;Lipowa Zachod
M00004;U00681;Liliowa Wschod
M00114;U00682;Lipowa Gorna
M00065;U00683;Rynkowa Centrum
M00022;U00684;Akacjowa Poludnie
M00011;U00685;Kosciuszki Dolna
M00045;U00686;Debowa Nadbrzezna
M00061;U00687;Brzoskwiniowa Centrum
M00104;U00688;Grunwaldzka Osiedlowa
M00033;U00689;Kwiatowa Stara
M00084;U00690;Zlota Zachod
M00005;U00691;Centralna Miejska
M00025;U00692;Jagiellonska Boczna
M00093;U00693;Mlynska Zachod
M00101;U00694;Jasna Dolna
M00036;U00695;Mickiewicza Stara
M00001;U00696;Wolnosci Dolna
M00022;U00697;Sadowa Zachod
M00114;U00698;Wesola Dolna
M00063;U00699;Wesola Nadbrzezna
M00071;U00700;Ogrodowa Centrum
